2021-01-16 04:45:38 |INFO  |main |LocalConfigInfoProcessor.java:195 |com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor |LOCAL_SNAPSHOT_PATH:/home/wang/nacos/config
2021-01-16 04:45:40 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-01-16 04:45:40 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2021-01-16 04:45:40 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler |Initializing ExecutorService 'taskScheduler'
2021-01-16 04:45:40 |INFO  |main |InitUtils.java:56 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2021-01-16 04:45:40 |INFO  |main |InitUtils.java:65 |com.alibaba.nacos.client.naming |initializer namespace from System Environment :null
2021-01-16 04:45:40 |INFO  |main |InitUtils.java:75 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2021-01-16 04:45:40 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2021-01-16 04:45:40 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2021-01-16 04:45:40 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2021-01-16 04:45:40 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2021-01-16 04:45:40 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8180"]
2021-01-16 04:45:40 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8180 (http) with context path ''
2021-01-16 04:45:40 |INFO  |main |BeatReactor.java:58 |com.alibaba.nacos.client.naming |[BEAT] adding beat: {"cluster":"DEFAULT","ip":"192.168.152.143","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":8180,"scheduled":false,"serviceName":"DEFAULT_GROUP@@service-statistics","stopped":false,"weight":1.0} to beat map.
2021-01-16 04:45:41 |INFO  |main |NamingProxy.java:175 |com.alibaba.nacos.client.naming |[REGISTER-SERVICE] public registering service DEFAULT_GROUP@@service-statistics with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.152.143","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":8180,"weight":1.0}
2021-01-16 04:45:41 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP service-statistics 192.168.152.143:8180 register finished
2021-01-16 04:45:41 |INFO  |main |StartupInfoLogger.java:61 |com.bit.jinggong.service.statistics.ServiceStatisticsApplication |Started ServiceStatisticsApplication in 3.641 seconds (JVM running for 4.072)
2021-01-16 04:45:41 |INFO  |main |ClientWorker.java:202 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-39.102.46.244_8848] [subscribe] service-statistics+DEFAULT_GROUP
2021-01-16 04:45:41 |INFO  |main |CacheData.java:79 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-39.102.46.244_8848] [add-listener] ok, tenant=, dataId=service-statistics, group=DEFAULT_GROUP, cnt=1
2021-01-16 04:45:41 |INFO  |main |ClientWorker.java:202 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-39.102.46.244_8848] [subscribe] service-statistics-dev.yaml+DEFAULT_GROUP
2021-01-16 04:45:41 |INFO  |main |CacheData.java:79 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-39.102.46.244_8848] [add-listener] ok, tenant=, dataId=service-statistics-dev.yaml, group=DEFAULT_GROUP, cnt=1
2021-01-16 04:45:41 |INFO  |main |ClientWorker.java:202 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-39.102.46.244_8848] [subscribe] service-statistics.yaml+DEFAULT_GROUP
2021-01-16 04:45:41 |INFO  |main |CacheData.java:79 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-39.102.46.244_8848] [add-listener] ok, tenant=, dataId=service-statistics.yaml, group=DEFAULT_GROUP, cnt=1
2021-01-16 04:48:08 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2021-01-16 04:48:08 |INFO  |SpringContextShutdownHook |BeatReactor.java:71 |com.alibaba.nacos.client.naming |[BEAT] removing beat: DEFAULT_GROUP@@service-statistics:192.168.152.143:8180 from beat map.
2021-01-16 04:48:08 |INFO  |SpringContextShutdownHook |NamingProxy.java:197 |com.alibaba.nacos.client.naming |[DEREGISTER-SERVICE] public deregistering service DEFAULT_GROUP@@service-statistics with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"instanceIdGenerator":"simple","ip":"192.168.152.143","ipDeleteTimeout":30000,"metadata":{},"port":8180,"weight":1.0}
2021-01-16 04:48:08 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2021-01-16 04:48:08 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler |Shutting down ExecutorService 'taskScheduler'
2021-01-16 04:48:08 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2021-01-16 05:48:34 |INFO  |main |LocalConfigInfoProcessor.java:195 |com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor |LOCAL_SNAPSHOT_PATH:/home/wang/nacos/config
2021-01-16 05:48:34 |INFO  |main |Limiter.java:53 |com.alibaba.nacos.client.config.impl.Limiter |limitTime:5.0
2021-01-16 05:48:34 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource {name='bootstrapProperties-service-statistics-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-service-statistics.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-service-statistics,DEFAULT_GROUP'}]
2021-01-16 05:48:34 |INFO  |main |SpringApplication.java:655 |com.bit.jinggong.service.statistics.ServiceStatisticsApplication |The following profiles are active: dev
2021-01-16 05:48:34 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-16 05:48:34 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-01-16 05:48:34 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2021-01-16 05:48:34 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=12a21921-4c0d-35df-956d-754dac4ac2e5
2021-01-16 05:48:35 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-16 05:48:35 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-16 05:48:35 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-16 05:48:35 |INFO  |main |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8180 (http)
2021-01-16 05:48:35 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8180"]
2021-01-16 05:48:35 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2021-01-16 05:48:35 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.29]
2021-01-16 05:48:35 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2021-01-16 05:48:35 |INFO  |main |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 1192 ms
2021-01-16 05:48:36 |INFO  |main |SentinelWebAutoConfiguration.java:80 |com.alibaba.cloud.sentinel.SentinelWebAutoConfiguration |[Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/*].
2021-01-16 05:48:36 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-01-16 05:48:36 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-01-16 05:48:36 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-01-16 05:48:36 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2021-01-16 05:48:36 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler |Initializing ExecutorService 'taskScheduler'
2021-01-16 05:48:36 |INFO  |main |InitUtils.java:56 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2021-01-16 05:48:36 |INFO  |main |InitUtils.java:65 |com.alibaba.nacos.client.naming |initializer namespace from System Environment :null
2021-01-16 05:48:36 |INFO  |main |InitUtils.java:75 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2021-01-16 05:48:36 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2021-01-16 05:48:36 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2021-01-16 05:48:36 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2021-01-16 05:48:36 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2021-01-16 05:48:36 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8180"]
2021-01-16 05:48:36 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8180 (http) with context path ''
2021-01-16 05:48:36 |INFO  |main |BeatReactor.java:58 |com.alibaba.nacos.client.naming |[BEAT] adding beat: {"cluster":"DEFAULT","ip":"192.168.152.143","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":8180,"scheduled":false,"serviceName":"DEFAULT_GROUP@@service-statistics","stopped":false,"weight":1.0} to beat map.
2021-01-16 05:48:36 |INFO  |main |NamingProxy.java:175 |com.alibaba.nacos.client.naming |[REGISTER-SERVICE] public registering service DEFAULT_GROUP@@service-statistics with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.152.143","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":8180,"weight":1.0}
2021-01-16 05:48:36 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP service-statistics 192.168.152.143:8180 register finished
2021-01-16 05:48:36 |INFO  |main |StartupInfoLogger.java:61 |com.bit.jinggong.service.statistics.ServiceStatisticsApplication |Started ServiceStatisticsApplication in 3.705 seconds (JVM running for 4.088)
2021-01-16 05:48:36 |INFO  |main |ClientWorker.java:202 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-39.102.46.244_8848] [subscribe] service-statistics+DEFAULT_GROUP
2021-01-16 05:48:36 |INFO  |main |CacheData.java:79 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-39.102.46.244_8848] [add-listener] ok, tenant=, dataId=service-statistics, group=DEFAULT_GROUP, cnt=1
2021-01-16 05:48:36 |INFO  |main |ClientWorker.java:202 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-39.102.46.244_8848] [subscribe] service-statistics-dev.yaml+DEFAULT_GROUP
2021-01-16 05:48:36 |INFO  |main |CacheData.java:79 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-39.102.46.244_8848] [add-listener] ok, tenant=, dataId=service-statistics-dev.yaml, group=DEFAULT_GROUP, cnt=1
2021-01-16 05:48:36 |INFO  |main |ClientWorker.java:202 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-39.102.46.244_8848] [subscribe] service-statistics.yaml+DEFAULT_GROUP
2021-01-16 05:48:36 |INFO  |main |CacheData.java:79 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-39.102.46.244_8848] [add-listener] ok, tenant=, dataId=service-statistics.yaml, group=DEFAULT_GROUP, cnt=1
2021-01-16 05:48:40 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2021-01-16 05:48:40 |INFO  |SpringContextShutdownHook |BeatReactor.java:71 |com.alibaba.nacos.client.naming |[BEAT] removing beat: DEFAULT_GROUP@@service-statistics:192.168.152.143:8180 from beat map.
2021-01-16 05:48:40 |INFO  |SpringContextShutdownHook |NamingProxy.java:197 |com.alibaba.nacos.client.naming |[DEREGISTER-SERVICE] public deregistering service DEFAULT_GROUP@@service-statistics with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"instanceIdGenerator":"simple","ip":"192.168.152.143","ipDeleteTimeout":30000,"metadata":{},"port":8180,"weight":1.0}
2021-01-16 05:48:40 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2021-01-16 05:48:40 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler |Shutting down ExecutorService 'taskScheduler'
2021-01-16 05:48:40 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2021-01-16 08:21:13 |INFO  |main |LocalConfigInfoProcessor.java:195 |com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor |LOCAL_SNAPSHOT_PATH:/home/wang/nacos/config
2021-01-16 08:21:13 |INFO  |main |Limiter.java:53 |com.alibaba.nacos.client.config.impl.Limiter |limitTime:5.0
2021-01-16 08:21:13 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource {name='bootstrapProperties-service-statistics-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-service-statistics.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-service-statistics,DEFAULT_GROUP'}]
2021-01-16 08:21:13 |INFO  |main |SpringApplication.java:655 |com.bit.jinggong.service.statistics.ServiceStatisticsApplication |The following profiles are active: dev
2021-01-16 08:21:13 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-16 08:21:13 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-01-16 08:21:13 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2021-01-16 08:21:13 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=12a21921-4c0d-35df-956d-754dac4ac2e5
2021-01-16 08:21:14 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-16 08:21:14 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-16 08:21:14 |INFO  |main |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-16 08:21:14 |INFO  |main |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8180 (http)
2021-01-16 08:21:14 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8180"]
2021-01-16 08:21:14 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2021-01-16 08:21:14 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.29]
2021-01-16 08:21:14 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2021-01-16 08:21:14 |INFO  |main |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 1163 ms
2021-01-16 08:21:14 |INFO  |main |SentinelWebAutoConfiguration.java:80 |com.alibaba.cloud.sentinel.SentinelWebAutoConfiguration |[Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/*].
2021-01-16 08:21:15 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-01-16 08:21:15 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-01-16 08:21:15 |INFO  |main |URLConfigurationSource.java:122 |com.netflix.config.sources.URLConfigurationSource |To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-01-16 08:21:15 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2021-01-16 08:21:15 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler |Initializing ExecutorService 'taskScheduler'
2021-01-16 08:21:15 |INFO  |main |InitUtils.java:56 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2021-01-16 08:21:15 |INFO  |main |InitUtils.java:65 |com.alibaba.nacos.client.naming |initializer namespace from System Environment :null
2021-01-16 08:21:15 |INFO  |main |InitUtils.java:75 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2021-01-16 08:21:15 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2021-01-16 08:21:15 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2021-01-16 08:21:15 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2021-01-16 08:21:15 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2021-01-16 08:21:15 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8180"]
2021-01-16 08:21:15 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8180 (http) with context path ''
2021-01-16 08:21:15 |INFO  |main |BeatReactor.java:58 |com.alibaba.nacos.client.naming |[BEAT] adding beat: {"cluster":"DEFAULT","ip":"192.168.152.144","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":8180,"scheduled":false,"serviceName":"DEFAULT_GROUP@@service-statistics","stopped":false,"weight":1.0} to beat map.
